Tag.id|TagClass.id|type
0|349|HAS_TYPE
1|211|HAS_TYPE
2|98|HAS_TYPE
3|336|HAS_TYPE
4|336|HAS_TYPE
5|336|HAS_TYPE
6|193|HAS_TYPE
7|82|HAS_TYPE
8|88|HAS_TYPE
9|211|HAS_TYPE
10|57|HAS_TYPE
11|94|HAS_TYPE
12|59|HAS_TYPE
13|59|HAS_TYPE
14|59|HAS_TYPE
15|349|HAS_TYPE
16|59|HAS_TYPE
17|59|HAS_TYPE
18|59|HAS_TYPE
19|59|HAS_TYPE
20|59|HAS_TYPE
21|59|HAS_TYPE
22|57|HAS_TYPE
23|74|HAS_TYPE
24|115|HAS_TYPE
25|57|HAS_TYPE
26|211|HAS_TYPE
27|59|HAS_TYPE
28|59|HAS_TYPE
29|59|HAS_TYPE
30|59|HAS_TYPE
31|59|HAS_TYPE
32|37|HAS_TYPE
33|349|HAS_TYPE
34|59|HAS_TYPE
35|59|HAS_TYPE
36|59|HAS_TYPE
37|59|HAS_TYPE
38|349|HAS_TYPE
39|74|HAS_TYPE
40|74|HAS_TYPE
41|57|HAS_TYPE
42|115|HAS_TYPE
43|59|HAS_TYPE
44|59|HAS_TYPE
45|59|HAS_TYPE
46|57|HAS_TYPE
47|59|HAS_TYPE
48|59|HAS_TYPE
49|59|HAS_TYPE
50|57|HAS_TYPE
51|74|HAS_TYPE
52|59|HAS_TYPE
53|59|HAS_TYPE
54|59|HAS_TYPE
55|94|HAS_TYPE
56|59|HAS_TYPE
57|59|HAS_TYPE
58|349|HAS_TYPE
59|211|HAS_TYPE
60|59|HAS_TYPE
61|349|HAS_TYPE
62|59|HAS_TYPE
63|349|HAS_TYPE
64|148|HAS_TYPE
65|115|HAS_TYPE
66|24|HAS_TYPE
67|211|HAS_TYPE
68|59|HAS_TYPE
69|349|HAS_TYPE
70|59|HAS_TYPE
71|211|HAS_TYPE
72|211|HAS_TYPE
73|24|HAS_TYPE
74|349|HAS_TYPE
75|37|HAS_TYPE
76|37|HAS_TYPE
77|349|HAS_TYPE
78|59|HAS_TYPE
79|115|HAS_TYPE
80|211|HAS_TYPE
81|59|HAS_TYPE
82|24|HAS_TYPE
83|211|HAS_TYPE
84|115|HAS_TYPE
85|59|HAS_TYPE
86|59|HAS_TYPE
87|211|HAS_TYPE
88|59|HAS_TYPE
89|115|HAS_TYPE
90|115|HAS_TYPE
91|191|HAS_TYPE
92|211|HAS_TYPE
93|59|HAS_TYPE
94|148|HAS_TYPE
95|59|HAS_TYPE
96|59|HAS_TYPE
97|59|HAS_TYPE
98|211|HAS_TYPE
99|24|HAS_TYPE
100|211|HAS_TYPE
101|59|HAS_TYPE
102|24|HAS_TYPE
103|115|HAS_TYPE
104|211|HAS_TYPE
105|211|HAS_TYPE
106|211|HAS_TYPE
107|211|HAS_TYPE
108|59|HAS_TYPE
109|59|HAS_TYPE
110|211|HAS_TYPE
111|88|HAS_TYPE
112|349|HAS_TYPE
113|349|HAS_TYPE
114|211|HAS_TYPE
115|59|HAS_TYPE
116|24|HAS_TYPE
117|211|HAS_TYPE
118|148|HAS_TYPE
119|82|HAS_TYPE
120|349|HAS_TYPE
121|59|HAS_TYPE
122|96|HAS_TYPE
123|24|HAS_TYPE
124|59|HAS_TYPE
125|349|HAS_TYPE
126|319|HAS_TYPE
127|95|HAS_TYPE
128|59|HAS_TYPE
129|349|HAS_TYPE
130|349|HAS_TYPE
131|349|HAS_TYPE
132|211|HAS_TYPE
133|349|HAS_TYPE
134|59|HAS_TYPE
135|24|HAS_TYPE
136|59|HAS_TYPE
137|211|HAS_TYPE
138|57|HAS_TYPE
139|211|HAS_TYPE
140|349|HAS_TYPE
141|211|HAS_TYPE
142|211|HAS_TYPE
143|211|HAS_TYPE
144|336|HAS_TYPE
145|336|HAS_TYPE
146|211|HAS_TYPE
147|336|HAS_TYPE
148|211|HAS_TYPE
149|336|HAS_TYPE
150|211|HAS_TYPE
151|59|HAS_TYPE
152|336|HAS_TYPE
153|211|HAS_TYPE
154|211|HAS_TYPE
155|211|HAS_TYPE
156|82|HAS_TYPE
157|211|HAS_TYPE
158|211|HAS_TYPE
159|336|HAS_TYPE
160|336|HAS_TYPE
161|59|HAS_TYPE
162|336|HAS_TYPE
163|336|HAS_TYPE
164|37|HAS_TYPE
165|59|HAS_TYPE
166|59|HAS_TYPE
167|211|HAS_TYPE
168|336|HAS_TYPE
169|211|HAS_TYPE
170|336|HAS_TYPE
171|37|HAS_TYPE
172|59|HAS_TYPE
173|336|HAS_TYPE
174|279|HAS_TYPE
175|336|HAS_TYPE
176|336|HAS_TYPE
177|211|HAS_TYPE
178|59|HAS_TYPE
179|37|HAS_TYPE
180|115|HAS_TYPE
181|336|HAS_TYPE
182|82|HAS_TYPE
183|336|HAS_TYPE
184|59|HAS_TYPE
185|211|HAS_TYPE
186|59|HAS_TYPE
187|226|HAS_TYPE
188|336|HAS_TYPE
189|37|HAS_TYPE
190|211|HAS_TYPE
191|211|HAS_TYPE
192|279|HAS_TYPE
193|211|HAS_TYPE
194|211|HAS_TYPE
195|349|HAS_TYPE
196|59|HAS_TYPE
197|59|HAS_TYPE
198|250|HAS_TYPE
199|349|HAS_TYPE
200|59|HAS_TYPE
201|211|HAS_TYPE
202|59|HAS_TYPE
203|59|HAS_TYPE
204|3|HAS_TYPE
205|336|HAS_TYPE
206|336|HAS_TYPE
207|211|HAS_TYPE
208|59|HAS_TYPE
209|336|HAS_TYPE
210|59|HAS_TYPE
211|59|HAS_TYPE
212|211|HAS_TYPE
213|59|HAS_TYPE
214|115|HAS_TYPE
215|336|HAS_TYPE
216|230|HAS_TYPE
217|37|HAS_TYPE
218|115|HAS_TYPE
219|211|HAS_TYPE
220|59|HAS_TYPE
221|336|HAS_TYPE
222|336|HAS_TYPE
223|97|HAS_TYPE
224|37|HAS_TYPE
225|3|HAS_TYPE
226|82|HAS_TYPE
227|250|HAS_TYPE
228|319|HAS_TYPE
229|59|HAS_TYPE
230|88|HAS_TYPE
231|59|HAS_TYPE
232|59|HAS_TYPE
233|59|HAS_TYPE
234|59|HAS_TYPE
235|211|HAS_TYPE
236|115|HAS_TYPE
237|59|HAS_TYPE
238|336|HAS_TYPE
239|336|HAS_TYPE
240|59|HAS_TYPE
241|211|HAS_TYPE
242|88|HAS_TYPE
243|349|HAS_TYPE
244|59|HAS_TYPE
245|59|HAS_TYPE
246|74|HAS_TYPE
247|349|HAS_TYPE
248|74|HAS_TYPE
249|59|HAS_TYPE
250|74|HAS_TYPE
251|59|HAS_TYPE
252|336|HAS_TYPE
253|115|HAS_TYPE
254|57|HAS_TYPE
255|115|HAS_TYPE
256|115|HAS_TYPE
257|211|HAS_TYPE
258|74|HAS_TYPE
259|211|HAS_TYPE
260|336|HAS_TYPE
261|211|HAS_TYPE
262|59|HAS_TYPE
263|94|HAS_TYPE
264|59|HAS_TYPE
265|59|HAS_TYPE
266|88|HAS_TYPE
267|74|HAS_TYPE
268|59|HAS_TYPE
269|98|HAS_TYPE
270|211|HAS_TYPE
271|59|HAS_TYPE
272|74|HAS_TYPE
273|349|HAS_TYPE
274|115|HAS_TYPE
275|336|HAS_TYPE
276|59|HAS_TYPE
277|115|HAS_TYPE
278|115|HAS_TYPE
279|115|HAS_TYPE
280|349|HAS_TYPE
281|115|HAS_TYPE
282|349|HAS_TYPE
283|115|HAS_TYPE
284|115|HAS_TYPE
285|115|HAS_TYPE
286|115|HAS_TYPE
287|211|HAS_TYPE
288|349|HAS_TYPE
289|13|HAS_TYPE
290|148|HAS_TYPE
291|115|HAS_TYPE
292|148|HAS_TYPE
293|211|HAS_TYPE
294|349|HAS_TYPE
295|211|HAS_TYPE
296|115|HAS_TYPE
297|115|HAS_TYPE
298|115|HAS_TYPE
299|115|HAS_TYPE
300|115|HAS_TYPE
301|211|HAS_TYPE
302|115|HAS_TYPE
303|211|HAS_TYPE
304|115|HAS_TYPE
305|349|HAS_TYPE
306|88|HAS_TYPE
307|148|HAS_TYPE
308|211|HAS_TYPE
309|211|HAS_TYPE
310|115|HAS_TYPE
311|211|HAS_TYPE
312|37|HAS_TYPE
313|211|HAS_TYPE
314|115|HAS_TYPE
315|211|HAS_TYPE
316|211|HAS_TYPE
317|96|HAS_TYPE
318|148|HAS_TYPE
319|59|HAS_TYPE
320|59|HAS_TYPE
321|211|HAS_TYPE
322|13|HAS_TYPE
323|212|HAS_TYPE
324|115|HAS_TYPE
325|349|HAS_TYPE
326|349|HAS_TYPE
327|115|HAS_TYPE
328|211|HAS_TYPE
329|211|HAS_TYPE
330|349|HAS_TYPE
331|211|HAS_TYPE
332|211|HAS_TYPE
333|211|HAS_TYPE
334|211|HAS_TYPE
335|349|HAS_TYPE
336|88|HAS_TYPE
337|148|HAS_TYPE
338|82|HAS_TYPE
339|211|HAS_TYPE
340|115|HAS_TYPE
341|349|HAS_TYPE
342|349|HAS_TYPE
343|115|HAS_TYPE
344|96|HAS_TYPE
345|349|HAS_TYPE
346|211|HAS_TYPE
347|115|HAS_TYPE
348|211|HAS_TYPE
349|13|HAS_TYPE
350|349|HAS_TYPE
351|59|HAS_TYPE
352|13|HAS_TYPE
353|211|HAS_TYPE
354|57|HAS_TYPE
355|13|HAS_TYPE
356|115|HAS_TYPE
357|211|HAS_TYPE
358|148|HAS_TYPE
359|279|HAS_TYPE
360|115|HAS_TYPE
361|211|HAS_TYPE
362|211|HAS_TYPE
363|211|HAS_TYPE
364|148|HAS_TYPE
365|13|HAS_TYPE
366|211|HAS_TYPE
367|330|HAS_TYPE
368|349|HAS_TYPE
369|96|HAS_TYPE
370|13|HAS_TYPE
371|13|HAS_TYPE
372|211|HAS_TYPE
373|115|HAS_TYPE
374|97|HAS_TYPE
375|211|HAS_TYPE
376|211|HAS_TYPE
377|13|HAS_TYPE
378|13|HAS_TYPE
379|211|HAS_TYPE
380|211|HAS_TYPE
381|211|HAS_TYPE
382|211|HAS_TYPE
383|148|HAS_TYPE
384|349|HAS_TYPE
385|59|HAS_TYPE
386|59|HAS_TYPE
387|96|HAS_TYPE
388|211|HAS_TYPE
389|13|HAS_TYPE
390|211|HAS_TYPE
391|211|HAS_TYPE
392|211|HAS_TYPE
393|211|HAS_TYPE
394|115|HAS_TYPE
395|13|HAS_TYPE
396|349|HAS_TYPE
397|88|HAS_TYPE
398|115|HAS_TYPE
399|97|HAS_TYPE
400|211|HAS_TYPE
401|43|HAS_TYPE
402|211|HAS_TYPE
403|211|HAS_TYPE
404|211|HAS_TYPE
405|59|HAS_TYPE
406|115|HAS_TYPE
407|115|HAS_TYPE
408|57|HAS_TYPE
409|59|HAS_TYPE
410|59|HAS_TYPE
411|88|HAS_TYPE
412|59|HAS_TYPE
413|59|HAS_TYPE
414|211|HAS_TYPE
415|349|HAS_TYPE
416|57|HAS_TYPE
417|57|HAS_TYPE
418|82|HAS_TYPE
419|349|HAS_TYPE
420|349|HAS_TYPE
421|211|HAS_TYPE
422|349|HAS_TYPE
423|336|HAS_TYPE
424|211|HAS_TYPE
425|211|HAS_TYPE
426|200|HAS_TYPE
427|349|HAS_TYPE
428|250|HAS_TYPE
429|59|HAS_TYPE
430|336|HAS_TYPE
431|212|HAS_TYPE
432|336|HAS_TYPE
433|57|HAS_TYPE
434|336|HAS_TYPE
435|200|HAS_TYPE
436|354|HAS_TYPE
437|211|HAS_TYPE
438|336|HAS_TYPE
439|59|HAS_TYPE
440|200|HAS_TYPE
441|115|HAS_TYPE
442|88|HAS_TYPE
443|141|HAS_TYPE
444|115|HAS_TYPE
445|57|HAS_TYPE
446|96|HAS_TYPE
447|59|HAS_TYPE
448|57|HAS_TYPE
449|98|HAS_TYPE
450|59|HAS_TYPE
451|279|HAS_TYPE
452|59|HAS_TYPE
453|82|HAS_TYPE
454|59|HAS_TYPE
455|59|HAS_TYPE
456|98|HAS_TYPE
457|59|HAS_TYPE
458|349|HAS_TYPE
459|115|HAS_TYPE
460|57|HAS_TYPE
461|115|HAS_TYPE
462|211|HAS_TYPE
463|211|HAS_TYPE
464|211|HAS_TYPE
465|211|HAS_TYPE
466|88|HAS_TYPE
467|88|HAS_TYPE
468|279|HAS_TYPE
469|211|HAS_TYPE
470|88|HAS_TYPE
471|115|HAS_TYPE
472|59|HAS_TYPE
473|59|HAS_TYPE
474|336|HAS_TYPE
475|59|HAS_TYPE
476|59|HAS_TYPE
477|88|HAS_TYPE
478|59|HAS_TYPE
479|59|HAS_TYPE
480|59|HAS_TYPE
481|115|HAS_TYPE
482|59|HAS_TYPE
483|349|HAS_TYPE
484|59|HAS_TYPE
485|88|HAS_TYPE
486|349|HAS_TYPE
487|59|HAS_TYPE
488|59|HAS_TYPE
489|59|HAS_TYPE
490|59|HAS_TYPE
491|59|HAS_TYPE
492|336|HAS_TYPE
493|82|HAS_TYPE
494|211|HAS_TYPE
495|59|HAS_TYPE
496|59|HAS_TYPE
497|59|HAS_TYPE
498|59|HAS_TYPE
499|59|HAS_TYPE
500|279|HAS_TYPE
501|59|HAS_TYPE
502|59|HAS_TYPE
503|59|HAS_TYPE
504|211|HAS_TYPE
505|59|HAS_TYPE
506|211|HAS_TYPE
507|59|HAS_TYPE
508|279|HAS_TYPE
509|13|HAS_TYPE
510|59|HAS_TYPE
511|59|HAS_TYPE
512|59|HAS_TYPE
513|3|HAS_TYPE
514|57|HAS_TYPE
515|59|HAS_TYPE
516|336|HAS_TYPE
517|59|HAS_TYPE
518|82|HAS_TYPE
519|59|HAS_TYPE
520|59|HAS_TYPE
521|57|HAS_TYPE
522|57|HAS_TYPE
523|279|HAS_TYPE
524|88|HAS_TYPE
525|82|HAS_TYPE
526|336|HAS_TYPE
527|336|HAS_TYPE
528|336|HAS_TYPE
529|59|HAS_TYPE
530|279|HAS_TYPE
531|336|HAS_TYPE
532|211|HAS_TYPE
533|59|HAS_TYPE
534|336|HAS_TYPE
535|336|HAS_TYPE
536|250|HAS_TYPE
537|336|HAS_TYPE
538|310|HAS_TYPE
539|310|HAS_TYPE
540|310|HAS_TYPE
541|349|HAS_TYPE
542|310|HAS_TYPE
543|349|HAS_TYPE
544|57|HAS_TYPE
545|336|HAS_TYPE
546|193|HAS_TYPE
547|193|HAS_TYPE
548|349|HAS_TYPE
549|211|HAS_TYPE
550|95|HAS_TYPE
551|211|HAS_TYPE
552|98|HAS_TYPE
553|211|HAS_TYPE
554|82|HAS_TYPE
555|211|HAS_TYPE
556|88|HAS_TYPE
557|193|HAS_TYPE
558|59|HAS_TYPE
559|211|HAS_TYPE
560|349|HAS_TYPE
561|336|HAS_TYPE
562|149|HAS_TYPE
563|349|HAS_TYPE
564|57|HAS_TYPE
565|336|HAS_TYPE
566|336|HAS_TYPE
567|336|HAS_TYPE
568|349|HAS_TYPE
569|336|HAS_TYPE
570|336|HAS_TYPE
571|336|HAS_TYPE
572|211|HAS_TYPE
573|88|HAS_TYPE
574|336|HAS_TYPE
575|82|HAS_TYPE
576|349|HAS_TYPE
577|88|HAS_TYPE
578|82|HAS_TYPE
579|193|HAS_TYPE
580|349|HAS_TYPE
581|115|HAS_TYPE
582|211|HAS_TYPE
583|336|HAS_TYPE
584|3|HAS_TYPE
585|336|HAS_TYPE
586|250|HAS_TYPE
587|336|HAS_TYPE
588|211|HAS_TYPE
589|59|HAS_TYPE
590|88|HAS_TYPE
591|336|HAS_TYPE
592|349|HAS_TYPE
593|211|HAS_TYPE
594|82|HAS_TYPE
595|59|HAS_TYPE
596|279|HAS_TYPE
597|211|HAS_TYPE
598|250|HAS_TYPE
599|211|HAS_TYPE
600|250|HAS_TYPE
601|279|HAS_TYPE
602|211|HAS_TYPE
603|211|HAS_TYPE
604|336|HAS_TYPE
605|211|HAS_TYPE
606|336|HAS_TYPE
607|211|HAS_TYPE
608|336|HAS_TYPE
609|88|HAS_TYPE
610|250|HAS_TYPE
611|250|HAS_TYPE
612|74|HAS_TYPE
613|88|HAS_TYPE
614|211|HAS_TYPE
615|349|HAS_TYPE
616|250|HAS_TYPE
617|59|HAS_TYPE
618|37|HAS_TYPE
619|336|HAS_TYPE
620|279|HAS_TYPE
621|59|HAS_TYPE
622|115|HAS_TYPE
623|211|HAS_TYPE
624|211|HAS_TYPE
625|59|HAS_TYPE
626|74|HAS_TYPE
627|250|HAS_TYPE
628|336|HAS_TYPE
629|193|HAS_TYPE
630|336|HAS_TYPE
631|82|HAS_TYPE
632|349|HAS_TYPE
633|211|HAS_TYPE
634|279|HAS_TYPE
635|211|HAS_TYPE
636|59|HAS_TYPE
637|59|HAS_TYPE
638|59|HAS_TYPE
639|88|HAS_TYPE
640|88|HAS_TYPE
641|336|HAS_TYPE
642|82|HAS_TYPE
643|59|HAS_TYPE
644|88|HAS_TYPE
645|88|HAS_TYPE
646|336|HAS_TYPE
647|250|HAS_TYPE
648|336|HAS_TYPE
649|59|HAS_TYPE
650|336|HAS_TYPE
651|82|HAS_TYPE
652|211|HAS_TYPE
653|37|HAS_TYPE
654|336|HAS_TYPE
655|250|HAS_TYPE
656|211|HAS_TYPE
657|115|HAS_TYPE
658|59|HAS_TYPE
659|336|HAS_TYPE
660|82|HAS_TYPE
661|88|HAS_TYPE
662|279|HAS_TYPE
663|336|HAS_TYPE
664|250|HAS_TYPE
665|82|HAS_TYPE
666|336|HAS_TYPE
667|211|HAS_TYPE
668|211|HAS_TYPE
669|211|HAS_TYPE
670|336|HAS_TYPE
671|211|HAS_TYPE
672|37|HAS_TYPE
673|211|HAS_TYPE
674|336|HAS_TYPE
675|250|HAS_TYPE
676|59|HAS_TYPE
677|211|HAS_TYPE
678|59|HAS_TYPE
679|59|HAS_TYPE
680|250|HAS_TYPE
681|94|HAS_TYPE
682|279|HAS_TYPE
683|250|HAS_TYPE
684|59|HAS_TYPE
685|3|HAS_TYPE
686|82|HAS_TYPE
687|279|HAS_TYPE
688|88|HAS_TYPE
689|82|HAS_TYPE
690|88|HAS_TYPE
691|336|HAS_TYPE
692|211|HAS_TYPE
693|336|HAS_TYPE
694|349|HAS_TYPE
695|279|HAS_TYPE
696|59|HAS_TYPE
697|193|HAS_TYPE
698|59|HAS_TYPE
699|211|HAS_TYPE
700|211|HAS_TYPE
701|279|HAS_TYPE
702|88|HAS_TYPE
703|148|HAS_TYPE
704|59|HAS_TYPE
705|59|HAS_TYPE
706|59|HAS_TYPE
707|250|HAS_TYPE
708|211|HAS_TYPE
709|211|HAS_TYPE
710|211|HAS_TYPE
711|3|HAS_TYPE
712|336|HAS_TYPE
713|88|HAS_TYPE
714|59|HAS_TYPE
715|211|HAS_TYPE
716|279|HAS_TYPE
717|82|HAS_TYPE
